dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
fashionmnist,4,1,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7360000610351562,0.4788950397208333,0.1,0.64,958.0893087387085
fashionmnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6720000505447388,0.4779749982176349,0.0,0.5766666531562805,959.695191860199
fashionmnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6720000505447388,0.4779749982176349,0.03,0.54,959.695191860199
fashionmnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6720000505447388,0.4779749982176349,0.05,0.53,959.695191860199
fashionmnist,4,1,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6720000505447388,0.4779749982176349,0.1,0.5,959.695191860199
fashionmnist,4,2,no_pruning,dense,,0.0,24,24,0.6840000152587891,0.6190971798747779,0.0,0.6600000262260437,819.2885692119598
fashionmnist,4,2,no_pruning,dense,,0.0,24,24,0.6840000152587891,0.6190971798747779,0.03,0.67,819.2885692119598
fashionmnist,4,2,no_pruning,dense,,0.0,24,24,0.6840000152587891,0.6190971798747779,0.05,0.67,819.2885692119598
fashionmnist,4,2,no_pruning,dense,,0.0,24,24,0.6840000152587891,0.6190971798747779,0.1,0.65,819.2885692119598
fashionmnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6580000519752502,0.5122685299349949,0.0,0.6466667056083679,960.0017297267914
fashionmnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6580000519752502,0.5122685299349949,0.03,0.61,960.0017297267914
fashionmnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6580000519752502,0.5122685299349949,0.05,0.64,960.0017297267914
fashionmnist,4,2,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.6580000519752502,0.5122685299349949,0.1,0.62,960.0017297267914
